,datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
28825,1992-02-14 21:00:00,panajachel (near) (guatamala),,,unknown,900,15 minutes,4 of ORION&#39S stars obscured on a clear night at Lake Atitlan,5/24/2005,0,0.0
28826,1992-02-14 22:30:00,panajachel (near) (guatamala),,,changing,420,about 7 minutes,Beam of light follows me walking&#44 moves high into trees on cliffside&#44 seems to swivel as it fades out.,5/24/2005,0,0.0
28828,1995-02-14 19:45:00,klang (selangor) (malaysia),,,fireball,480,8mins,The sun was setting&#44 was in car with my mother heading home from grocery store.saw floating fireballs like in the sky. tought they,02/12/2004,3.043061,101.440657
28885,2004-02-14 04:00:00,caribbean (in a cruise) (mexico),,,light,900,15 mins,they werent planes they were UFOS,03/02/2004,21.469114,-78.656894
28952,2009-02-14 11:10:00,lisburn (northern ireland),,,oval,60,1 minute,Mach 3+ Oval&#44 Lisburn&#44 N. Ireland.,3/19/2009,54.50972,-6.0374
28964,2009-02-14 23:00:00,hengelo (the netherlands),,,fireball,120,2 minutes?,Rotating fireball changes direction and speed&#44 with a rotating arm.,3/19/2009,52.257412,6.792772
28965,2009-02-14 23:00:00,panama (in pacific ocean),,,light,0,cruise ship,zig zagged light travelling upwards like a Z and then zoomed very very fast in a straight line across the sky,3/19/2009,0,0.0
29068,1978-02-15 10:00:00,st.thomas (u. s. virgin islands),,,disk,130,130 seconds,Visible in the mid-day,12/07/2006,18.335361,-64.953401
29091,1991-02-15 15:00:00,hafer al ban (saudi arabia),,,other,300,3-5 minutes,Feb 1991 Gulf War Desert Storm UFO Sighting very close- about 3 stories off the ground,05/12/2009,0,0.0
29124,1998-02-15 20:00:00,newborough (vic&#44 australia),,,triangle,60,half an hour,a large triangle with orange lights on each of the three corners,1/28/1999,53.164868,-4.359065
29144,2000-02-15 20:00:00,kosovo,,,light,120,2min,There was 3 of us standing outside having a smoke when a light object appeared and hovered over the town for approx 30 secs then sped o,03/11/2006,42.581372,20.889336
29148,2000-02-15 22:30:00,peru,,,changing,900,15min,It was at night.. summer in my country I was sleeping and my mom woke me up... suddenly a strange object was in the sky movins strangel,8/28/2003,0,0.0
29224,2005-02-15 22:50:00,belfast (northern ireland),,,light,300,5 mins,shape of lights in the night sky,2/22/2005,0,0.0
29242,2006-02-15 20:00:00,new amsterdam,,,light,600,about 10 minutes,Strange object with flashing lights sighted over New Amsterdam&#44 Guyana,03/11/2006,6.25,-57.516667
29249,2007-02-15 05:30:00,london,,,unknown,1800,30 minutes,((HOAX??))  we experienced completely out of the ordinary lights and sounds.,2/24/2007,0,0.0
29260,2008-02-15 19:03:00,uk/england,,,egg,300,3-5mins,egg shaped object big red flashing light,03/04/2008,52.355518,-1.17432
29291,2011-02-15 11:00:00,tehran (iran),,,unknown,0,,Two UFO Caught on Camera from a balcony at night in Tehran Iran.,10/10/2011,35.696111,51.423056
29329,2014-02-15 08:20:00,potzberg,,,disk,20,20 seconds,Two silver disks in sky off autobahn,2/21/2014,49.491292,7.405033
29344,1992-02-16 02:00:00,south armagh (rep. of ireland),,,diamond,900,15 mins,Whilst serving in the British Army in Northern Ireland&#44 myself and my patrol were waiting for a chopper pick up&#44 however we were told t,2/14/2006,54.34875,-6.65161
29356,1998-02-16 18:18:00,garfield&#44 (vic&#44 australia),,,light,1,1 second,Seen due south of Garfield&#44 lite by sunlight . came direct in vertically. Assumed by us to be debrie&#44 silver or metal to reflex light,1/28/1999,0,0.0
29359,1999-02-16 10:00:00,in-flight/europe,,,changing,300,5 minutes,I was flying home alone from a family ski-ing trip when the sighting occurred. It was a small plane and the seat next to me was empty.,01/07/2000,51.535746,-0.081394
29470,2008-02-16 20:30:00,kannattota (sri lanka),,,light,60,60 sec,Our family have practice of sitting out and watching the sky. we always watched satellite moves. but one day we so three lights came fr,03/04/2008,7.086488,80.273078
29487,2009-02-16 22:15:00,puerto rico,,,unknown,1200,20 minutes,Pulsating Red/Green/White light off Puerto Rico.  ((NUFORC Note:  We suspect a sighting of Sirius.  We will contact source.  PD)),3/19/2009,18.220833,-66.590149
29658,2010-02-17 13:20:00,east london (south africa),,,light,30,30 seconds,Missiles?,4/13/2010,51.508515,-0.125487
29698,2014-02-17 19:20:00,little rock,,,circle,60,1 minute,Pulsating light streaks across the night sky.,2/21/2014,0,0.0
29743,2003-02-18 17:15:00,hingurakgoda (sri lanka),,,other,480,8mins,Golden&#44 shining object in the  Sri Lanken sky -18th sept 03 at 1715hrs,03/04/2003,8.042242,80.946644
29787,2009-02-18 12:00:00,in flight,,,other,900,10-15 minutes,Falling object becomes stationary,3/19/2009,38.584329,-108.073096
29827,2012-02-18 21:49:00,taipa (south africa),,,circle,20,10-20 seconds,5 orange like lights emits a green light on a construction building&#33,8/30/2013,22.159722,113.559444
29830,2013-02-18 14:30:00,cape town (south africa),,,light,1,1 second,Blue orb in the sky captured on iphone camera.  ((NUFORC Note:  Lens flare&#44 or flaw in glass or the lens.  Not a UFO&#44 we suspect.  PD)),07/03/2013,-33.924868,18.424055
29906,2004-02-19 10:00:00,uk/england,,,circle,2,2 seconds,objec seen leaving the sea at 30 degrees leaving a contrail of water,06/04/2004,52.355518,-1.17432
29930,2007-02-19 21:14:00,vereeniging (south africa),,,circle,120,2min,Slow low flying sauser in South Africa.,2/24/2007,-26.673611,27.931944
29963,2009-02-19 20:40:00,klaksv&iacute;k (faroe islands),,,rectangle,120,2 min.,Klaksv&iacute;k&#44 Faroe Islands-Rectangle of yellow light above a clouds.,3/19/2009,62.223889,-6.578611
29972,2010-02-19 23:30:00,ajman (united arab emirates),,,fireball,180,2-3 minutes,Orange flamed fireball spotted from Ajman beach 11.30pm Friday 19 Feb 2010,4/13/2010,25.3995,55.4796
30046,1998-02-20 23:00:00,brewers bay&#44 tortola (british virgin islands),,,other,1800,30 min ?,A CIRCLE OF SMOKE&#44 FROM WHICH ROSE A &#39SNAKE&#39 SHAPE OF WHITE LIGHT OR SMOKE?,1/28/1999,18.445841,-64.652535
30071,2002-02-20 08:15:00,caribbean cruise,,,other,300,5 minutes,While cruising in the Caribian on a clear day my wife and self saw a strange shaped white object which seemed to change shapes as we wa,3/19/2002,28.363391,-81.542485
30107,2005-02-20 23:30:00,daejon (south korea),,,light,2,a few secs?,I took a picture of night scene&#44 and I found a UFO on one of my pictures.,2/22/2005,36.350412,127.384548
30109,2006-02-20 04:55:00,tirau,,,changing,300,5 plus minutes,A bright light that became larger &amp; then again receded becoming smaller until it vanished - duration was probably just over 5 minutes,03/11/2006,-37.978276,175.757401
30160,2009-02-20 17:50:00,caracas,,,,1500,25 minuts,This is it&#44 i was doing laundry&#44 sudenly my wife called me to say: came to watch this quick (she was hanging cloths in the porch)and i,3/19/2009,10.5,-66.916667
30243,1998-02-21 18:00:00,north america&#44 bermuda,,,formation,14400,approx. 4hrs,Not sure what to make of it,1/28/1999,37.324211,-77.40134
30271,2003-02-21 02:20:00,uk/scotland,,,circle,900,15mins,In a clear sky the Star shone bright with what appeared to be white glowing fireflys buzzing aroung it.,03/04/2003,56.490671,-4.202646
30277,2004-02-21 21:00:00,matauri bay (near kerikeri) (new zealand),,,light,900,15 minutes,Nine  Orange lights appeared and headed out to sea.,03/02/2004,-35.04278,173.902626
30354,2013-02-21 15:28:00,turrialba (costa rica),,,triangle,0,unknown,Captured image from government owned&#44 fixed base volcano observation camera  - Costa Rica.,2/28/2013,10.033333,-83.766667
30364,2014-02-21 12:30:00,grand rivers,,,sphere,300,5 minutes,Six orbs sighted in broad daylight near Grand Rivers.,3/18/2014,37.003111,-88.234475
30378,2014-02-21 19:56:00,santo domingo (dominican republic),,,formation,840,14 minutes,Varied&#44 apparently related sightings&#44 leading to an impressive display of coordinated flight.,3/27/2014,0,0.0
30401,1995-02-02 02:00:00,unidentified object sig&#44 (vic&#44 australia),,,light,900,15 minutes,Irregular movement of star shape/intensity object,1/28/1999,0,0.0
30485,2004-02-02 22:30:00,cape town (south africa),,,other,300,5 minutes,I saw a bright orange &quot;ball&quot; hovering and moving short distances at speed,02/12/2004,-33.924868,18.424055
30510,2008-02-02 01:53:00,cancun (quintana roo) (mexico),,,light,30,30 seconds,Two bright lights zigzaging over Cancun,2/14/2008,21.161908,-86.851528
30673,2005-02-22 15:45:00,netherlands,,,disk,300,5 minutes,two UFO&#39s who where chasing each other,2/22/2005,52.132633,5.291266
30689,2007-02-22 01:00:00,noosa sound (queensland) (australia),,,sphere,20,20 seconds,Two spacecraft fly&#44stop&#44then speed off at a very fast speed,07/05/2008,0,0.0
30717,2009-02-22 19:00:00,wellington,,,light,600,10 mins,lights in sky,3/19/2009,0,0.0
30748,2012-02-22 20:15:00,milan (bergamo; lake major) (italy),,,light,3600,over an hour,Two non moving bright round lights over Bergamo&#44 Milan and Lake Major.  ((NUFORC Note:  Sighting of Jupiter and Venus?  PD)),3/13/2012,0,0.0
30806,1978-02-23 01:48:00,braintree and raf weatherfield (between) (uk/england),,,light,240,3-4 minutes,I was active duty (USAF) at the time&#44 I was driving home (car-pooling) with a fellow worker&#44 his name is Mike Bugno. We were in his VW,11/19/1998,51.973598,0.5081
30864,2003-02-23 20:45:00,cork (republic of ireland),,,formation,2,1-2 secs,Ufos over Cork Harbour 23th Deb 2003,3/21/2003,51.896892,-8.486316
30919,2009-02-23 17:30:00,anegada (the settlement) (british virgin islands),,,light,15,15 seconds,A rapidly moving yellow ball of light quickly appeared and disappeared to the east of Anegada&#44 British Virgin Islands. Too fast to be a,3/19/2009,18.727244,-64.343089
30921,2009-02-23 21:15:00,shepshed,,,fireball,120,2 minutes,Ball of flame moving over North Leicestershire UK,3/19/2009,52.770101,-1.292427
30934,2011-02-23 20:00:00,holley,,,formation,180,03:00,v shaped lights moving perfectly together.,03/10/2011,0,0.0
31060,2006-02-24 20:15:00,guyana,,,cigar,90,90 seconds,A brightly lit object flew silently in a straight line with apparent flames trailing it for several feet,03/11/2006,4.860416,-58.93018
31077,2008-02-24 21:30:00,puerto rico,,,circle,60,60 seconds,I was on vacation in puerto rico in the town of dorado when one night while driving through the golf course on 02 24 08 at aprox. 2120h,06/12/2008,18.220833,-66.590149
31146,1986-02-25 06:00:00,panama,,,sphere,0,unknown,my les than normal experience as a child with a floating white smokey orb,7/16/2003,0,0.0
31335,2004-02-26 00:00:00,argentina,,,unknown,0,?,APARECIO DESPUES EN LA FOTO&#44 YO NO OBSERVABA EL  CIELO,03/09/2004,-38.416097,-63.616672
31393,2010-02-26 21:20:00,uk/england,,,disk,30,20-30 seconds,Clearly a saucer shaped&#44 rotating mechanical craft,8/19/2012,52.355518,-1.17432
31398,2011-02-26 07:15:00,florida keys,,,circle,30,30 seconds,Dark circle type disc captured on film and not seen until photo was downloaded,03/10/2011,24.555736,-81.782654
31399,2011-02-26 17:50:00,munich,,,light,360,6 minutes,Two glooming lights appear in mid-air&#44 and remain there for six minutes.,03/10/2011,0,0.0
31474,1999-02-27 21:15:00,oudenaarde and maarkedal (between) (belgium),,,light,3,3 sec.,I saw a green light that moved very fast in North-North-West direction. There was a little green tail. It didden&#180;t make any sound.Sudde,04/02/1999,50.846931,3.601437
31582,2012-02-27 18:30:00,evans,,,,1112,18:32,Ball of brightlight seen directly over my residence flying north too south fadedaway les then the time ihad made visable contact.Wtf&#33,5/13/2012,0,0.0
31663,2003-02-28 01:00:00,monteverde (costa rica),,,formation,2700,45 mins,bright lights dancing in the soutwest sky,03/04/2003,40.999974,15.534767
31861,2002-02-03 03:45:00,randburg (south africa),,,unknown,20,00:20,Horizintal green light beams shining  from within small clouds -attracted by search lights from local town Randburg&#44Jhb &#44South Africa,2/22/2002,-26.093611,28.006389
31955,2012-02-03 21:00:00,boskruin (johannesburg)( south africa),,,disk,180,3min,Disc shaped craft fly directly overhead,5/13/2012,-26.085307,27.951261
31971,2014-02-03 11:30:00,australia,,,other,0,,Google moon 22 34&#3956.06&quot; N 142 40&#3954.30&quot; E Square shape same light arrangement of other UFO nearby to the left.,02/07/2014,-25.274398,133.775136
32041,2003-02-04 22:30:00,playa del cura (grand canaria island),,,light,1800,30 minutes approx,Two bright reddish lights appearing horizontally in the night sky off the coast of Gran Canaria repaced 2 or 3 times by similar objects,4/22/2003,27.795643,-15.733735
32055,2005-02-04 12:00:00,tulum (ancient city) (mexioc),,,disk,0,?,Saucer over Tulum Ruins,2/22/2005,20.211944,-87.465833
32067,2007-02-04 06:05:00,uk/england,,,cigar,600,10 minutes,Bright cigar - shaped object tracked my car for at least 10 minutes on February 4th 2007,03/04/2008,52.355518,-1.17432
32116,2011-02-04 19:30:00,baghdad,,,unknown,600,past hour and still,i&#39ve got the video on my sony cybershot but i&#39m not sure if it is clear. send me an email address so i can send u the footage.,02/08/2011,33.325,44.422
32157,2014-02-04 14:48:00,in-flight (between tn and ca),,,other,10,10 seconds,Black object moving very fast seen from commercial airline flight&#44 which disappeared when witness briefly looked away.,02/07/2014,38.584329,-108.073096
32189,2002-02-05 21:00:00,united kingdom,,,light,3600,1 hour,unusal bright light moving in an unbeleivable manner throughout the sky,06/12/2002,55.378051,-3.435973
32215,2005-02-05 06:00:00,cashel (republic of ireland),,,,120,2 mins,3 strong lights that faded out when approached by fighter jets,02/08/2005,52.516757,-7.887675
32466,2012-02-06 20:00:00,seattle,,,sphere,180,3 min,On February 6&#44 2012&#44 @8 o clock p.m.&#44 I was in my car in Seattles Capitol hill neighborhood on the block of Thomas.,02/10/2012,0,0.0
32488,2014-02-06 03:45:00,st. thomas (u. s. virgin islands),,,cylinder,120,2 minutes,Saw the ufo and it was obvious that it was extraordinary and not of this physics,02/07/2014,0,0.0
32510,1998-02-07 22:23:00,paraparaumu (kapiti island) (new zealand),,,cylinder,120,1/2 minute,4 cylinder shaped green and pinkish flashing objects appeard from behind Kapiti Island&#44 seemed to stay static for a short while before,1/28/1999,-40.914234,175.00838
32547,2004-02-07 12:00:00,tehran (iran),,,light,6312000,two years,dear sirs: a few nights ago I was sitting outside on my chair in the yard that I noticed a star was addressing me while I was looking u,6/18/2004,35.696111,51.423056
32627,2014-02-07 00:15:00,lavras (minas gerais) (brazil),,,unknown,60,1 minute,Ufo crashed n exploded or probed crashed n exploded. 15 witnesses.  Next nite other moving lights in sky same area.,2/14/2014,-21.248487,-45.001375
33044,2002-03-10 22:16:00,bandar seri begawan (brunei),,,fireball,300,5 minutes,Spotted glowing green translucent object near Chung Hwa Middle School in Brunei Darussalam.,10/15/2002,4.890278,114.942222
33048,2003-03-10 13:00:00,new zealand,,,sphere,0,picture taken,Taupo&#44 New Zealand Sphere Photo,3/28/2004,-40.900557,174.885971
33050,2003-03-10 18:00:00,new zealand,,,disk,0,unknown,On Editing the &quot;Sunset&quot;&#44 a Disc was to be seen.,3/21/2003,-40.900557,174.885971
33073,2004-03-10 22:54:00,cape town (south africa),,,rectangle,60,1 min,standing out side my back door&#44 when two rectangle shaped crafts hovered over a field across the side of my house for about two minutes,3/17/2004,-33.924868,18.424055
